0,822,-48
1,786,0
2,789,-6
3,795,6
4,795,-6
5,798,0
6,798,0
7,807,-6
8,807,6
9,810,12
10,813,-6
11,813,-6
12,816,0
13,816,0
14,825,6
15,825,-6
16,825,6
17,828,0
18,837,6
19,837,6
20,843,-6
21,843,-6
22,849,6
23,849,6
24,852,12
25,855,6
26,858,0
27,861,6
28,861,6
29,867,18
30,870,-12
31,873,6
32,876,0
33,879,-6
34,882,12
35,885,6
36,891,6
37,891,6
38,894,12
39,900,0
40,903,6
41,903,-6
42,909,6
43,912,-12
44,918,0
45,918,0
46,921,6
47,927,6
48,933,6
49,939,6
50,939,6
51,942,0
52,945,18
53,951,-6
54,954,0
55,957,-6
56,963,6
57,966,0
58,969,-6
59,972,0
60,975,6
61,978,-12
62,981,-6
63,990,12
64,993,6
65,999,6
66,1002,0
67,1008,0
68,1011,6
69,1017,6
70,1023,6
71,1023,6
72,1032,0
73,1035,-6
74,1038,0
75,1044,0
76,1047,-6
77,1053,6
78,1056,0
79,1062,0
80,1065,6
81,1074,0
82,1077,-6
83,1080,0
84,1086,0
85,1098,0
86,1101,6
87,1107,6
88,1113,6
89,1119,-6
90,1119,-6
91,1125,-6
92,1134,12
93,1137,-6
94,1143,-6
95,1149,-6
96,1155,-6
97,1161,6
98,1164,12
99,1176,0
100,1182,0
101,1188,-12
102,1194,0
103,1203,-6
104,1206,0
105,1215,6
106,1221,-6
107,1227,-6
108,1236,0
109,1245,-6
110,1251,-6
111,1257,-6
112,1266,0
113,1272,0
114,1281,6
115,1290,0
116,1299,6
117,1305,6
118,1317,-6
119,1326,0
120,1335,6
121,1341,6
122,1353,-6
123,1365,-6
124,1368,0
125,1383,6
126,1389,-6
127,1398,0
128,1407,-6
129,1416,12
130,1428,0
131,1437,6
132,1449,-6
133,1464,0
134,1473,6
135,1485,6
136,1497,6
137,1515,6
138,1524,0
139,1539,6
140,1548,0
141,1560,0
142,1572,12
143,1587,6
144,1599,-6
145,1614,0
146,1626,0
147,1638,12
148,1653,6
149,1671,6
150,1686,0
151,1707,6
152,1722,12
153,1743,6
154,1758,0
155,1779,6
156,1797,6
157,1815,6
158,1830,0
159,1854,0
160,1872,12
161,1887,-6
162,1911,-6
163,1929,-6
164,1956,0
165,1980,12
166,2010,12
167,2037,6
168,2067,6
169,2094,12
170,2127,6
171,2160,0
172,2196,12
173,2226,12
174,2259,6
175,2295,6
176,2328,0
177,2358,12
178,2397,6
179,2433,18
180,2472,12
181,2520,0
182,2565,6
183,2619,18
184,2679,6
185,2748,12
186,2817,18
187,2895,18
188,2973,18
189,3063,18
190,3153,30
191,3249,18
192,3345,18
193,3447,18
194,3561,18
195,3681,18
196,3813,30
197,3969,30
198,4161,42
199,4386,48
200,4662,48
201,5001,66
202,5436,108
203,6009,150
204,6783,198
205,10485,1122
206,17439,4338
